Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Angiotensinogen,28193.63891,10251.68067,NA,30605.96737,31841.9273,NA,NA,12687.80462,NA,NA,37804.93444,NA,NA,NA,8934.478791,NA,NA,12138.03831,NA,NA,NA,6980.89861,NA,NA,NA,NA,NA,32901.37858,22718.58667,12710.986
Angiotensinogen (Serpin A8),155065.014,56384.24368,22263.74627,168332.8205,191051.5638,355035.4635,81594.05727,76126.82773,737376.0335,68046.22382,207927.1394,121282.5924,123434.374,588272.4605,53606.87275,121035.8946,137654.5905,60690.19157,176052.4681,135088.4136,109875.5629,38394.94235,288580.7029,27267.39305,76073.00112,30053.99616,21990.16426,180957.5822,113592.9334,69910.42298
Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4],14096.81945,5125.840335,NA,15302.98368,15920.96365,35503.54635,8159.405727,6343.902311,73737.60335,6804.622382,18902.46722,12128.25924,12343.4374,53479.31459,4467.239396,11003.26315,12514.05368,6069.019157,NA,15009.82373,NA,3490.449305,NA,NA,NA,NA,NA,16450.68929,11359.29334,6355.492998
Ankyrin 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.3316411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610.3597419,NA,NA,177.914436,NA,NA,NA,NA,789.1594793,NA,NA,559.5740782,NA,862.5578439,NA
Anti-(ED-B) scFV,327864.4164,439905.1974,403395.1256,186043.9726,134717.9859,NA,1069183.081,615672.4124,698867.8275,128417.8675,368034.5757,1225461.296,1163733.552,727025.3494,739506.4661,1430556.753,1225607.741,NA,1149149.999,NA,NA,769483.7444,NA,NA,1458696.658,436063.7029,1535001.337,NA,377066.6072,NA
Anti-H1N1 influenza HA kappa chain variable region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333065.1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anti-IFN-G scFv,NA,146635.0658,NA,NA,NA,NA,356394.3602,205224.1375,174716.9568,NA,NA,NA,NA,181756.3373,184876.6165,357639.1882,408535.9135,NA,NA,NA,NA,NA,NA,196350.4545,306167.7922,NA,383750.3343,447114.1288,377066.6072,NA
Anti-TN-C scFv,NA,146635.0658,NA,NA,NA,NA,356394.3602,205224.1375,174716.9568,NA,NA,NA,NA,181756.3373,184876.6165,357639.1882,408535.9135,293878.5201,NA,515489.9433,NA,NA,NA,196350.4545,306167.7922,NA,383750.3343,447114.1288,NA,311196.2949
Antigen MLAA-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1779.57039,NA,NA,NA,NA
Antithrombin-III (ATIII) (Serpin C1),18075.615,NA,20781.28704,13401.3438,NA,20487.17214,NA,24929.09343,37745.65613,16153.86836,41025.86213,66179.40393,58022.79652,55456.54523,9175.145391,32209.51312,15263.05889,NA,116759.9769,33772.88622,16847.9383,12.38671455,24906.37594,10863.47972,13137.32296,NA,7463.009373,11199.49602,16874.90017,11531.95412
Antithrombin-III (Serpin C1),36151.23001,NA,41562.57409,26802.6876,NA,40974.34429,NA,49858.18687,75491.31226,16153.86836,82051.72426,66179.40393,116045.593,110913.0905,18350.29078,64419.02624,30526.11777,NA,233519.9536,67545.77244,33695.87659,24.7734291,49812.75188,10863.47972,26274.64591,NA,14926.01875,22398.99203,33749.80034,23063.90823
Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),55414.95924,144074.8075,178009.4809,73298.67392,261259.6489,312210.8636,135157.8464,75186.30933,108233.7038,82706.069,170107.4218,132990.1961,131091.2512,292821.7695,233857.7213,71292.20551,137583.9595,94965.51395,496639.6516,299778.8627,301947.3513,121024.5846,255796.1681,164306.3041,664104.6613,61424.44921,120646.6153,221292.2477,486077.3862,121124.1327
