,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pathway_name,source,n_genes
GO:0034774,0.2890273046413574,0.256706986084261,0.2868235225019018,0.29703911306184533,0.2965345549991469,0.32025060456014476,0.31506916939045376,0.3118204915095398,0.3064427847677622,0.2815963840990942,0.30457038014480586,0.3004824345566223,0.30794549606849037,0.28551604992279916,0.3234533664055973,0.3089740929299085,0.30303008762466827,0.30472783278542737,0.3053417713697071,0.31467283821659864,0.3043037621558626,0.32910147735170586,0.2963106669969781,0.30919020970918926,0.3326744115622988,0.31712211955151104,0.32432169285661516,0.31638098716153934,0.2560901922876571,0.3186227792287917,secretory granule lumen,GO:CC,34
GO:0008233,0.3091301642377877,0.3003372576207189,0.3050922819684677,0.2877054518267517,0.2819282858217102,0.3189010807205717,0.310437428879261,0.3152081783659534,0.3113237283290036,0.2755655919887428,0.3334071366557724,0.2898233710100255,0.28420152847799957,0.2869091913721076,0.3079000153789405,0.30916282770616704,0.3143698827282599,0.32681296743260063,0.331367756276146,0.3224901798415843,0.3344350883132322,0.3026394214752347,0.27623985997564804,0.33264503845369636,0.3118142904767916,0.29638675996219654,0.3072127276360538,0.30502511899349266,0.296541286786536,0.3036473870490079,peptidase activity,GO:MF,54
GO:0060205,0.2890273046413574,0.256706986084261,0.2868235225019018,0.29703911306184533,0.2965345549991469,0.32025060456014476,0.31506916939045376,0.3118204915095398,0.3064427847677622,0.2815963840990942,0.30457038014480586,0.3004824345566223,0.30794549606849037,0.28551604992279916,0.3234533664055973,0.3089740929299085,0.30303008762466827,0.30472783278542737,0.3053417713697071,0.31467283821659864,0.3043037621558626,0.32910147735170586,0.2963106669969781,0.30919020970918926,0.3326744115622988,0.31712211955151104,0.32432169285661516,0.31638098716153934,0.2560901922876571,0.3186227792287917,cytoplasmic vesicle lumen,GO:CC,34
GO:0031983,0.2890273046413574,0.256706986084261,0.2868235225019018,0.29703911306184533,0.2965345549991469,0.32025060456014476,0.31506916939045376,0.3118204915095398,0.3064427847677622,0.2815963840990942,0.30457038014480586,0.3004824345566223,0.30794549606849037,0.28551604992279916,0.3234533664055973,0.3089740929299085,0.30303008762466827,0.30472783278542737,0.3053417713697071,0.31467283821659864,0.3043037621558626,0.32910147735170586,0.2963106669969781,0.30919020970918926,0.3326744115622988,0.31712211955151104,0.32432169285661516,0.31638098716153934,0.2560901922876571,0.3186227792287917,vesicle lumen,GO:CC,34
GO:0098542,0.2601765322892718,0.22590197199274517,0.25839875294156966,0.2145813775584523,0.25322610463873485,0.2561803541575736,0.2695471562139855,0.27822478277569873,0.2705016986430059,0.23927314761231763,0.29412645653381203,0.2548448283332733,0.25613760648875455,0.27097442096209423,0.2762273097711375,0.25060825069550396,0.2836262415496059,0.30055884540969724,0.284737156016228,0.2686335363866582,0.2806462683029367,0.29677650239599923,0.2638301237653408,0.281957827516249,0.26295776881095523,0.2491632268829965,0.257196212419694,0.26829264781424195,0.24840693670219885,0.26969144995822275,defense response to other organism,GO:BP,64
GO:0043207,0.2529449060095159,0.21351004436212914,0.24542468472850426,0.20228019017187215,0.24138356723993054,0.22625327714607205,0.25794634149275436,0.27068773124012674,0.25711356992899154,0.22660527828999058,0.2858484047366295,0.22585166674289245,0.24086156969252676,0.2616871948326571,0.2640771950023001,0.23975954349450063,0.2740933737921156,0.2878362091993951,0.27386047182940576,0.25585114418649263,0.2706327589592781,0.2887503980597951,0.25385863906453027,0.2679560251229602,0.24954438248318553,0.23650838241087097,0.2440049022088873,0.23932294080724142,0.2399378264371602,0.2565673985632015,response to external biotic stimulus,GO:BP,72
GO:0051707,0.2529449060095159,0.21351004436212914,0.24542468472850426,0.20228019017187215,0.24138356723993054,0.22625327714607205,0.25794634149275436,0.27068773124012674,0.25711356992899154,0.22660527828999058,0.2858484047366295,0.22585166674289245,0.24086156969252676,0.2616871948326571,0.2640771950023001,0.23975954349450063,0.2740933737921156,0.2878362091993951,0.27386047182940576,0.25585114418649263,0.2706327589592781,0.2887503980597951,0.25385863906453027,0.2679560251229602,0.24954438248318553,0.23650838241087097,0.2440049022088873,0.23932294080724142,0.2399378264371602,0.2565673985632015,response to other organism,GO:BP,72
GO:1990777,0.189487192866872,0.16762313397562026,0.13422995774662266,0.16724613869853616,0.22215917943016045,0.1451490257257217,0.19913963120142067,0.24587072183404848,0.13713113884192482,0.15128574400110154,0.23123096583429167,0.15643632253499362,0.16452464446327114,0.2499341126101325,0.20761191534146115,0.17263064767546651,0.2002417898339966,0.13832567579384322,0.22521452819177074,0.1216217359001552,0.17863254984609894,0.22075124401187857,0.2402060746184424,0.21645016867537129,0.1480827977685505,0.19419167128782455,0.08313847964503707,0.15979234633585676,0.18665861143776594,0.14436849296615606,lipoprotein particle,GO:CC,16
GO:0034358,0.189487192866872,0.16762313397562026,0.13422995774662266,0.16724613869853616,0.22215917943016045,0.1451490257257217,0.19913963120142067,0.24587072183404848,0.13713113884192482,0.15128574400110154,0.23123096583429167,0.15643632253499362,0.16452464446327114,0.2499341126101325,0.20761191534146115,0.17263064767546651,0.2002417898339966,0.13832567579384322,0.22521452819177074,0.1216217359001552,0.17863254984609894,0.22075124401187857,0.2402060746184424,0.21645016867537129,0.1480827977685505,0.19419167128782455,0.08313847964503707,0.15979234633585676,0.18665861143776594,0.14436849296615606,plasma lipoprotein particle,GO:CC,16
GO:0044419,0.2522132251372706,0.21012988738461152,0.2447881366823219,0.20019989866696522,0.24005309483101153,0.22605363773468348,0.25736743086195496,0.27022290427429224,0.25789595384902936,0.2248972963943691,0.28442429834727007,0.22429637617497847,0.23873957832584372,0.26168587993891224,0.2621611795231811,0.23803357100051806,0.27274074632560924,0.2874894640158553,0.27310750028471237,0.2554466648271522,0.27102902943914575,0.2880603781556957,0.25076237217049896,0.266678851686457,0.24851929839654346,0.23174333063171917,0.242522067025971,0.23689009235325212,0.23925919115006028,0.254222082535917,biological process involved in interspecies interaction between organisms,GO:BP,75
