,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
WP:WP2272,Pathogenic Escherichia coli infection,WP,3,-0.29282747209801674,-0.291674291437673,-0.0011531806603437555
GO:0048871,multicellular organismal-level homeostasis,GO:BP,19,0.04550082301349039,0.0443530016533807,0.0011478213601096923
GO:0009605,response to external stimulus,GO:BP,96,0.23052272698496207,0.22937551498402953,0.0011472120009325404
REAC:R-HSA-446353,Cell-extracellular matrix interactions,REAC,3,-0.2946266556054321,-0.29348601804192814,-0.0011406375635039656
GO:0070936,protein K48-linked ubiquitination,GO:BP,3,-0.0011182388235936689,0.0,-0.0011182388235936689
GO:0000209,protein polyubiquitination,GO:BP,3,-0.0011182388235936689,0.0,-0.0011182388235936689
GO:0046889,positive regulation of lipid biosynthetic process,GO:BP,5,0.24675391814209405,0.245640206726934,0.0011137114151600347
GO:0045834,positive regulation of lipid metabolic process,GO:BP,5,0.24675391814209405,0.245640206726934,0.0011137114151600347
REAC:R-HSA-418990,Adherens junctions interactions,REAC,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
REAC:R-HSA-421270,Cell-cell junction organization,REAC,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
REAC:R-HSA-194138,Signaling by VEGF,REAC,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
KEGG:04670,Leukocyte transendothelial migration,KEGG,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
GO:0035633,maintenance of blood-brain barrier,GO:BP,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
REAC:R-HSA-4420097,VEGFA-VEGFR2 Pathway,REAC,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
GO:0150105,protein localization to cell-cell junction,GO:BP,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
KEGG:04520,Adherens junction,KEGG,3,-0.3038204651718961,-0.3027129109900056,-0.0011075541818905132
GO:0050776,regulation of immune response,GO:BP,54,0.2651808480471077,0.2662872228887109,-0.001106374841603197
GO:0032102,negative regulation of response to external stimulus,GO:BP,24,0.1560575419343411,0.15715597688411173,-0.0010984349497706325
REAC:R-HSA-446728,Cell junction organization,REAC,6,-0.304418426811651,-0.30332407929790317,-0.0010943475137478176
REAC:R-HSA-1500931,Cell-Cell communication,REAC,6,-0.304418426811651,-0.30332407929790317,-0.0010943475137478176
GO:0007154,cell communication,GO:BP,94,0.10728461126936517,0.10836303624716148,-0.0010784249777963106
GO:0006638,neutral lipid metabolic process,GO:BP,11,0.22179228507609663,0.2228406355286437,-0.0010483504525470588
GO:0006639,acylglycerol metabolic process,GO:BP,11,0.22179228507609663,0.2228406355286437,-0.0010483504525470588
GO:0006641,triglyceride metabolic process,GO:BP,11,0.22179228507609663,0.2228406355286437,-0.0010483504525470588
GO:0006066,alcohol metabolic process,GO:BP,13,0.13987032470872793,0.14088724492604762,-0.0010169202173196945
GO:0005488,binding,GO:MF,263,0.16860044022818238,0.16961203709177589,-0.0010115968635935058
GO:1901987,regulation of cell cycle phase transition,GO:BP,4,-0.26190276616158026,-0.26291197220711765,0.001009206045537392
REAC:R-HSA-382551,Transport of small molecules,REAC,20,0.2715738609824329,0.27056587377152536,0.0010079872109075572
REAC:R-HSA-190873,Gap junction degradation,REAC,3,-0.29449243294096134,-0.29348601804192814,-0.0010064148990331923
REAC:R-HSA-157858,Gap junction trafficking and regulation,REAC,3,-0.29449243294096134,-0.29348601804192814,-0.0010064148990331923
REAC:R-HSA-196025,Formation of annular gap junctions,REAC,3,-0.29449243294096134,-0.29348601804192814,-0.0010064148990331923
REAC:R-HSA-3928665,EPH-ephrin mediated repulsion of cells,REAC,3,-0.29449243294096134,-0.29348601804192814,-0.0010064148990331923
REAC:R-HSA-190828,Gap junction trafficking,REAC,3,-0.29449243294096134,-0.29348601804192814,-0.0010064148990331923
REAC:R-HSA-2682334,EPH-Ephrin signaling,REAC,3,-0.29449243294096134,-0.29348601804192814,-0.0010064148990331923
GO:0043296,apical junction complex,GO:CC,4,-0.3037103402152198,-0.3027129109900056,-0.0009974292252142303
GO:0006873,intracellular monoatomic ion homeostasis,GO:BP,8,0.2408775824107267,0.24186920873054038,-0.000991626319813671
GO:0030003,intracellular monoatomic cation homeostasis,GO:BP,8,0.2408775824107267,0.24186920873054038,-0.000991626319813671
GO:0048863,stem cell differentiation,GO:BP,3,0.3460007896825041,0.3469804508002794,-0.00097966111777531
GO:0098862,cluster of actin-based cell projections,GO:CC,3,-0.2640617396626836,-0.26308328061466285,-0.0009784590480207411
GO:0070062,extracellular exosome,GO:CC,118,0.2434835384635999,0.2444572198579114,-0.0009736813943115041
GO:0046486,glycerolipid metabolic process,GO:BP,15,0.2105778934714479,0.21154564568285666,-0.0009677522114087678
GO:0048856,anatomical structure development,GO:BP,99,0.10029606933505882,0.10125336692843986,-0.0009572975933810485
