Entry,Gene Names,Protein names,Query_original,Query_clean
A0A5C2GYF2,,IG c668_light_IGLV3-16_IGLJ3,IG c668_light_IGLV3-16_IGLJ3,IG c668_light_IGLV3-16_IGLJ3
A0A5C2GL70,,IG c66_heavy_IGHV6-1_IGHD3-16_IGHJ6,IG c66_heavy_IGHV6-1_IGHD3-16_IGHJ6,IG c66_heavy_IGHV6-1_IGHD3-16_IGHJ6
A0A5C2GY75,,IG c670_light_IGKV2-24_IGKJ2,IG c670_light_IGKV2-24_IGKJ2,IG c670_light_IGKV2-24_IGKJ2
A0A5C2GFQ6,,IG c672_heavy_IGHV3-15_IGHD6-6_IGHJ4,IG c672_heavy_IGHV3-15_IGHD6-6_IGHJ4,IG c672_heavy_IGHV3-15_IGHD6-6_IGHJ4
A0A5C2GPA8,,IG c673_heavy_IGHV3-33_IGHD2-8_IGHJ4,IG c673_heavy_IGHV3-33_IGHD2-8_IGHJ4,IG c673_heavy_IGHV3-33_IGHD2-8_IGHJ4
A0A5C2GV57,,IG c673_light_IGKV1D-13_IGKJ2,IG c673_light_IGKV1D-13_IGKJ2,IG c673_light_IGKV1D-13_IGKJ2
A0A5C2GT90,,IG c674_light_IGLV1-40_IGLJ2,IG c674_light_IGLV1-40_IGLJ2,IG c674_light_IGLV1-40_IGLJ2
A0A5C2GHB7,,IG c677_heavy_IGHV3-9_IGHD6-13_IGHJ4,IG c677_heavy_IGHV3-9_IGHD6-13_IGHJ4,IG c677_heavy_IGHV3-9_IGHD6-13_IGHJ4
A0A5C2GTP4,,IG c677_light_IGKV3-11_IGKJ1,IG c677_light_IGKV3-11_IGKJ1,IG c677_light_IGKV3-11_IGKJ1
A0A5C2GU90,,IG c67_heavy_IGHV3-74_IGHD1-14_IGHJ3,IG c67_heavy_IGHV3-74_IGHD1-14_IGHJ3,IG c67_heavy_IGHV3-74_IGHD1-14_IGHJ3
A0A5C2GY85,,IG c680_light_IGLV1-40_IGLJ3,IG c680_light_IGLV1-40_IGLJ3,IG c680_light_IGLV1-40_IGLJ3
A0A5C2GT15,,IG c681_heavy_IGHV3-21_IGHD3-9_IGHJ4,IG c681_heavy_IGHV3-21_IGHD3-9_IGHJ4,IG c681_heavy_IGHV3-21_IGHD3-9_IGHJ4
A0A5C2GHL6,,IG c681_heavy_IGHV3-9_IGHD6-19_IGHJ4,IG c681_heavy_IGHV3-9_IGHD6-19_IGHJ4,IG c681_heavy_IGHV3-9_IGHD6-19_IGHJ4
A0A5C2GRR2,,IG c682_light_IGKV1-27_IGKJ3,IG c682_light_IGKV1-27_IGKJ3,IG c682_light_IGKV1-27_IGKJ3
A0A5C2GK36,,IG c684_light_IGKV3-20_IGKJ4,IG c684_light_IGKV3-20_IGKJ4,IG c684_light_IGKV3-20_IGKJ4
A0A5C2GY96,,IG c690_light_IGKV1D-33_IGKJ5,IG c690_light_IGKV1D-33_IGKJ5,IG c690_light_IGKV1D-33_IGKJ5
A0A5C2GFF2,,IG c696_heavy_IGHV4-34_IGHD3-10_IGHJ4,IG c696_heavy_IGHV4-34_IGHD3-10_IGHJ4,IG c696_heavy_IGHV4-34_IGHD3-10_IGHJ4
A0A5C2GYH7,,IG c698_light_IGKV1-5_IGKJ1,IG c698_light_IGKV1-5_IGKJ1,IG c698_light_IGKV1-5_IGKJ1
A0A5C2GQ94,,IG c700_heavy_IGHV1-69_IGHD4-23_IGHJ5,IG c700_heavy_IGHV1-69_IGHD4-23_IGHJ5,IG c700_heavy_IGHV1-69_IGHD4-23_IGHJ5
A0A5C2GV11,,IG c702_light_IGLV1-40_IGLJ2,IG c702_light_IGLV1-40_IGLJ2,IG c702_light_IGLV1-40_IGLJ2
A0A5C2GGX1,,IG c704_heavy_IGHV3-23_IGHD2-2_IGHJ6,IG c704_heavy_IGHV3-23_IGHD2-2_IGHJ6,IG c704_heavy_IGHV3-23_IGHD2-2_IGHJ6
A0A5C2GF32,,IG c709_heavy_IGHV3-48_IGHD2-8_IGHJ3,IG c709_heavy_IGHV3-48_IGHD2-8_IGHJ3,IG c709_heavy_IGHV3-48_IGHD2-8_IGHJ3
A0A5C2GW92,,IG c709_light_IGKV3-15_IGKJ2,IG c709_light_IGKV3-15_IGKJ2,IG c709_light_IGKV3-15_IGKJ2
A0A5C2GNG8,,IG c70_heavy_IGHV3-23_IGHD3-22_IGHJ4,IG c70_heavy_IGHV3-23_IGHD3-22_IGHJ4,IG c70_heavy_IGHV3-23_IGHD3-22_IGHJ4
A0A5C2GYB7,,IG c710_light_IGKV3-20_IGKJ2,IG c710_light_IGKV3-20_IGKJ2,IG c710_light_IGKV3-20_IGKJ2
A0A5C2GNS5,,IG c718_light_IGKV3-20_IGKJ2,IG c718_light_IGKV3-20_IGKJ2,IG c718_light_IGKV3-20_IGKJ2
A0A5C2GYC6,,IG c720_light_IGKV3-11_IGKJ5,IG c720_light_IGKV3-11_IGKJ5,IG c720_light_IGKV3-11_IGKJ5
A0A5C2GT85,,IG c721_heavy_IGHV3-33_IGHD3-10_IGHJ6,IG c721_heavy_IGHV3-33_IGHD3-10_IGHJ6,IG c721_heavy_IGHV3-33_IGHD3-10_IGHJ6
A0A5C2GG57,,IG c722_heavy_IGHV3-21_IGHD5-24_IGHJ6,IG c722_heavy_IGHV3-21_IGHD5-24_IGHJ6,IG c722_heavy_IGHV3-21_IGHD5-24_IGHJ6
A0A5C2GM16,,IG c724_light_IGKV3-20_IGKJ1,IG c724_light_IGKV3-20_IGKJ1,IG c724_light_IGKV3-20_IGKJ1
A0A5C2GD14,,IG c725_heavy_IGHV1-18_IGHD6-6_IGHJ4,IG c725_heavy_IGHV1-18_IGHD6-6_IGHJ4,IG c725_heavy_IGHV1-18_IGHD6-6_IGHJ4
A0A5C2GI60,,IG c72_light_IGLV6-57_IGLJ2,IG c72_light_IGLV6-57_IGLJ2,IG c72_light_IGLV6-57_IGLJ2
A0A5C2GT73,,IG c735_light_IGKV3-15_IGKJ1,IG c735_light_IGKV3-15_IGKJ1,IG c735_light_IGKV3-15_IGKJ1
A0A5C2GNC4,,IG c742_light_IGKV1-5_IGKJ1,IG c742_light_IGKV1-5_IGKJ1,IG c742_light_IGKV1-5_IGKJ1
A0A5C2GGI4,,IG c750_heavy_IGHV5-51_IGHD6-19_IGHJ4,IG c750_heavy_IGHV5-51_IGHD6-19_IGHJ4,IG c750_heavy_IGHV5-51_IGHD6-19_IGHJ4
A0A5C2GJY0,,IG c758_light_IGKV3-20_IGKJ3,IG c758_light_IGKV3-20_IGKJ3,IG c758_light_IGKV3-20_IGKJ3
A0A5C2GWD7,,IG c759_light_IGKV1D-33_IGKJ3,IG c759_light_IGKV1D-33_IGKJ3,IG c759_light_IGKV1D-33_IGKJ3
A0A5C2GIX8,,IG c75_heavy_IGHV3-23_IGHD1-26_IGHJ3,IG c75_heavy_IGHV3-23_IGHD1-26_IGHJ3,IG c75_heavy_IGHV3-23_IGHD1-26_IGHJ3
A0A5C2GI07,,IG c760_heavy_IGHV3-74_IGHD2-21_IGHJ6,IG c760_heavy_IGHV3-74_IGHD2-21_IGHJ6,IG c760_heavy_IGHV3-74_IGHD2-21_IGHJ6
A0A5C2GIS3,,IG c768_heavy_IGHV4-61_IGHD6-19_IGHJ6,IG c768_heavy_IGHV4-61_IGHD6-19_IGHJ6,IG c768_heavy_IGHV4-61_IGHD6-19_IGHJ6
A0A5C2GH83,,IG c771_light_IGKV3-20_IGKJ4,IG c771_light_IGKV3-20_IGKJ4,IG c771_light_IGKV3-20_IGKJ4
A0A5C2GK25,,IG c774_light_IGLV3-1_IGLJ3,IG c774_light_IGLV3-1_IGLJ3,IG c774_light_IGLV3-1_IGLJ3
A0A5C2GMV5,,IG c775_heavy_IGHV1-69_IGHD1-26_IGHJ2,IG c775_heavy_IGHV1-69_IGHD1-26_IGHJ2,IG c775_heavy_IGHV1-69_IGHD1-26_IGHJ2
A0A5C2GHW7,,IG c775_light_IGLV3-21_IGLJ2,IG c775_light_IGLV3-21_IGLJ2,IG c775_light_IGLV3-21_IGLJ2
A0A5C2GEW6,,IG c77_heavy_IGHV3-11_IGHD2-2_IGHJ6,IG c77_heavy_IGHV3-11_IGHD2-2_IGHJ6,IG c77_heavy_IGHV3-11_IGHD2-2_IGHJ6
A0A5C2GQG4,,IG c780_heavy_IGHV3-11_IGHD4-23_IGHJ4,IG c780_heavy_IGHV3-11_IGHD4-23_IGHJ4,IG c780_heavy_IGHV3-11_IGHD4-23_IGHJ4
A0A5C2GKH9,,IG c781_light_IGKV3-20_IGKJ1,IG c781_light_IGKV3-20_IGKJ1,IG c781_light_IGKV3-20_IGKJ1
A0A5C2GMV6,,IG c782_heavy_IGHV3-15_IGHD1-7_IGHJ6,IG c782_heavy_IGHV3-15_IGHD1-7_IGHJ6,IG c782_heavy_IGHV3-15_IGHD1-7_IGHJ6
A0A5C2GV94,,IG c782_light_IGLV3-19_IGLJ3,IG c782_light_IGLV3-19_IGLJ3,IG c782_light_IGLV3-19_IGLJ3
A0A5C2GG36,,IG c786_heavy_IGHV3-48_IGHD2-2_IGHJ4,IG c786_heavy_IGHV3-48_IGHD2-2_IGHJ4,IG c786_heavy_IGHV3-48_IGHD2-2_IGHJ4
A0A5C2GSG4,,IG c786_light_IGLV3-21_IGLJ2,IG c786_light_IGLV3-21_IGLJ2,IG c786_light_IGLV3-21_IGLJ2
A0A5C2GU06,,IG c787_light_IGKV1-27_IGKJ5,IG c787_light_IGKV1-27_IGKJ5,IG c787_light_IGKV1-27_IGKJ5
A0A5C2GJB0,,IG c788_heavy_IGHV7-81_IGHD5-18_IGHJ5,IG c788_heavy_IGHV7-81_IGHD5-18_IGHJ5,IG c788_heavy_IGHV7-81_IGHD5-18_IGHJ5
A0A5C2GGZ8,,IG c78_heavy_IGHV3-53_IGHD2-2_IGHJ4,IG c78_heavy_IGHV3-53_IGHD2-2_IGHJ4,IG c78_heavy_IGHV3-53_IGHD2-2_IGHJ4
A0A5C2GWI3,,IG c78_light_IGLV8-61_IGLJ3,IG c78_light_IGLV8-61_IGLJ3,IG c78_light_IGLV8-61_IGLJ3
A0A5C2GYI3,,IG c790_light_IGKV4-1_IGKJ2,IG c790_light_IGKV4-1_IGKJ2,IG c790_light_IGKV4-1_IGKJ2
A0A5C2GJP0,,IG c791_light_IGKV1-27_IGKJ1,IG c791_light_IGKV1-27_IGKJ1,IG c791_light_IGKV1-27_IGKJ1
A0A5C2GHP9,,IG c792_light_IGKV4-1_IGKJ1,IG c792_light_IGKV4-1_IGKJ1,IG c792_light_IGKV4-1_IGKJ1
A0A5C2GMJ9,,IG c793_light_IGKV3-20_IGKJ4,IG c793_light_IGKV3-20_IGKJ4,IG c793_light_IGKV3-20_IGKJ4
A0A5C2GFB0,,IG c796_heavy_IGHV3-66_IGHD3-22_IGHJ2,IG c796_heavy_IGHV3-66_IGHD3-22_IGHJ2,IG c796_heavy_IGHV3-66_IGHD3-22_IGHJ2
A0A5C2H1K3,,IG c796_light_IGLV6-57_IGLJ3,IG c796_light_IGLV6-57_IGLJ3,IG c796_light_IGLV6-57_IGLJ3
A0A5C2GEQ9,,IG c799_heavy_IGHV3-30_IGHD2-2_IGHJ1,IG c799_heavy_IGHV3-30_IGHD2-2_IGHJ1,IG c799_heavy_IGHV3-30_IGHD2-2_IGHJ1
A0A5C2GGS9,,IG c79_heavy_IGHV3-23_IGHD5-24_IGHJ5,IG c79_heavy_IGHV3-23_IGHD5-24_IGHJ5,IG c79_heavy_IGHV3-23_IGHD5-24_IGHJ5
A0A5C2GRK2,,IG c7_light_IGKV3-20_IGKJ5,IG c7_light_IGKV3-20_IGKJ5,IG c7_light_IGKV3-20_IGKJ5
A0A5C2GYJ2,,IG c800_light_IGKV3-20_IGKJ4,IG c800_light_IGKV3-20_IGKJ4,IG c800_light_IGKV3-20_IGKJ4
A0A5C2GVC0,,IG c802_light_IGKV3-20_IGKJ5,IG c802_light_IGKV3-20_IGKJ5,IG c802_light_IGKV3-20_IGKJ5
A0A5C2GW41,,IG c807_heavy_IGHV3-13_IGHD5-24_IGHJ6,IG c807_heavy_IGHV3-13_IGHD5-24_IGHJ6,IG c807_heavy_IGHV3-13_IGHD5-24_IGHJ6
A0A5C2GPB2,,IG c810_light_IGLV1-40_IGLJ1,IG c810_light_IGLV1-40_IGLJ1,IG c810_light_IGLV1-40_IGLJ1
A0A5C2GIJ0,,IG c818_light_IGKV1D-33_IGKJ4,IG c818_light_IGKV1D-33_IGKJ4,IG c818_light_IGKV1D-33_IGKJ4
A0A5C2GR15,,IG c81_heavy_IGHV3-15_IGHD3-22_IGHJ4,IG c81_heavy_IGHV3-15_IGHD3-22_IGHJ4,IG c81_heavy_IGHV3-15_IGHD3-22_IGHJ4
A0A5C2GYK6,,IG c820_light_IGKV3-20_IGKJ2,IG c820_light_IGKV3-20_IGKJ2,IG c820_light_IGKV3-20_IGKJ2
A0A5C2GTU2,,IG c821_light_IGKV3-11_IGKJ2,IG c821_light_IGKV3-11_IGKJ2,IG c821_light_IGKV3-11_IGKJ2
A0A5C2GN03,,IG c825_heavy_IGHV3-48_IGHD3-9_IGHJ6,IG c825_heavy_IGHV3-48_IGHD3-9_IGHJ6,IG c825_heavy_IGHV3-48_IGHD3-9_IGHJ6
A0A5C2GTF3,,IG c825_light_IGLV1-40_IGLJ2,IG c825_light_IGLV1-40_IGLJ2,IG c825_light_IGLV1-40_IGLJ2
A0A5C2GGM6,,IG c828_heavy_IGHV4-61_IGHD3-22_IGHJ3,IG c828_heavy_IGHV4-61_IGHD3-22_IGHJ3,IG c828_heavy_IGHV4-61_IGHD3-22_IGHJ3
A0A5C2GFY5,,IG c829_heavy_IGHV3-33_IGHD3-16_IGHJ5,IG c829_heavy_IGHV3-33_IGHD3-16_IGHJ5,IG c829_heavy_IGHV3-33_IGHD3-16_IGHJ5
A0A5C2GSC2,,IG c829_light_IGKV3-20_IGKJ2,IG c829_light_IGKV3-20_IGKJ2,IG c829_light_IGKV3-20_IGKJ2
A0A5C2GWM1,,IG c829_light_IGKV4-1_IGKJ2,IG c829_light_IGKV4-1_IGKJ2,IG c829_light_IGKV4-1_IGKJ2
A0A5C2GTM6,,IG c831_heavy_IGHV3-33_IGHD1-14_IGHJ4,IG c831_heavy_IGHV3-33_IGHD1-14_IGHJ4,IG c831_heavy_IGHV3-33_IGHD1-14_IGHJ4
A0A5C2GJG9,,IG c832_heavy_IGHV3-33_IGHD1-7_IGHJ1,IG c832_heavy_IGHV3-33_IGHD1-7_IGHJ1,IG c832_heavy_IGHV3-33_IGHD1-7_IGHJ1
A0A5C2GTF9,,IG c835_light_IGKV3-11_IGKJ4,IG c835_light_IGKV3-11_IGKJ4,IG c835_light_IGKV3-11_IGKJ4
A0A5C2GIP3,,IG c837_heavy_IGHV1-2_IGHD6-19_IGHJ3,IG c837_heavy_IGHV1-2_IGHD6-19_IGHJ3,IG c837_heavy_IGHV1-2_IGHD6-19_IGHJ3
A0A5C2GN12,,IG c842_heavy_IGHV3-48_IGHD5-12_IGHJ4,IG c842_heavy_IGHV3-48_IGHD5-12_IGHJ4,IG c842_heavy_IGHV3-48_IGHD5-12_IGHJ4
A0A5C2GPQ1,,IG c843_heavy_IGHV3-49_IGHD3-3_IGHJ6,IG c843_heavy_IGHV3-49_IGHD3-3_IGHJ6,IG c843_heavy_IGHV3-49_IGHD3-3_IGHJ6
A0A5C2GKM4,,IG c845_heavy_IGHV3-72_IGHD3-3_IGHJ6,IG c845_heavy_IGHV3-72_IGHD3-3_IGHJ6,IG c845_heavy_IGHV3-72_IGHD3-3_IGHJ6
A0A5C2GK71,,IG c846_heavy_IGHV3-33_IGHD3-22_IGHJ4,IG c846_heavy_IGHV3-33_IGHD3-22_IGHJ4,IG c846_heavy_IGHV3-33_IGHD3-22_IGHJ4
A0A5C2GLD4,,IG c846_light_IGKV1-5_IGKJ1,IG c846_light_IGKV1-5_IGKJ1,IG c846_light_IGKV1-5_IGKJ1
A0A5C2GVM3,,IG c846_light_IGKV3-20_IGKJ4 (IG c863_light_IGKV3-20_IGKJ4),IG c846_light_IGKV3-20_IGKJ4 (IG c863_light_IGKV3-20_IGKJ4),IG c846_light_IGKV3-20_IGKJ4
A0A5C2GF92,,IG c849_heavy_IGHV3-21_IGHD3-9_IGHJ5,IG c849_heavy_IGHV3-21_IGHD3-9_IGHJ5,IG c849_heavy_IGHV3-21_IGHD3-9_IGHJ5
A0A5C2GI74,,IG c852_heavy_IGHV4-39_IGHD6-19_IGHJ3,IG c852_heavy_IGHV4-39_IGHD6-19_IGHJ3,IG c852_heavy_IGHV4-39_IGHD6-19_IGHJ3
A0A5C2GLS1,,IG c852_light_IGLV1-51_IGLJ2,IG c852_light_IGLV1-51_IGLJ2,IG c852_light_IGLV1-51_IGLJ2
A0A5C2GTP2,,IG c854_light_IGKV3-20_IGKJ3,IG c854_light_IGKV3-20_IGKJ3,IG c854_light_IGKV3-20_IGKJ3
A0A5C2GIB2,,IG c855_light_IGKV2-30_IGKJ1,IG c855_light_IGKV2-30_IGKJ1,IG c855_light_IGKV2-30_IGKJ1
A0A5C2H1Q2,,IG c856_light_IGKV2D-28_IGKJ2,IG c856_light_IGKV2D-28_IGKJ2,IG c856_light_IGKV2D-28_IGKJ2
A0A5C2GIU8,,IG c858_light_IGKV2D-29_IGKJ4,IG c858_light_IGKV2D-29_IGKJ4,IG c858_light_IGKV2D-29_IGKJ4
A0A5C2GQP7,,IG c860_heavy_IGHV4-59B_IGHD3-10_IGHJ6,IG c860_heavy_IGHV4-59B_IGHD3-10_IGHJ6,IG c860_heavy_IGHV4-59B_IGHD3-10_IGHJ6
A0A5C2GQ60,,IG c864_heavy_IGHV3-23_IGHD3-22_IGHJ4,IG c864_heavy_IGHV3-23_IGHD3-22_IGHJ4,IG c864_heavy_IGHV3-23_IGHD3-22_IGHJ4
A0A5C2GTP9,,IG c864_light_IGKV1D-13_IGKJ1,IG c864_light_IGKV1D-13_IGKJ1,IG c864_light_IGKV1D-13_IGKJ1
A0A5C2GN49,,IG c865_heavy_IGHV3-33_IGHD6-13_IGHJ4,IG c865_heavy_IGHV3-33_IGHD6-13_IGHJ4,IG c865_heavy_IGHV3-33_IGHD6-13_IGHJ4
A0A5C2GL86,,IG c86_heavy_IGHV5-51_IGHD3-16_IGHJ6,IG c86_heavy_IGHV5-51_IGHD3-16_IGHJ6,IG c86_heavy_IGHV5-51_IGHD3-16_IGHJ6
A0A5C2GYP9,,IG c870_light_IGKV2-28_IGKJ2,IG c870_light_IGKV2-28_IGKJ2,IG c870_light_IGKV2-28_IGKJ2
A0A5C2GGJ7,,IG c872_heavy_IGHV3-33_IGHD6-6_IGHJ5,IG c872_heavy_IGHV3-33_IGHD6-6_IGHJ5,IG c872_heavy_IGHV3-33_IGHD6-6_IGHJ5
A0A5C2GPS6,,IG c873_heavy_IGHV3-23_IGHD5-24_IGHJ4,IG c873_heavy_IGHV3-23_IGHD5-24_IGHJ4,IG c873_heavy_IGHV3-23_IGHD5-24_IGHJ4
A0A5C2GLQ1,,IG c87_heavy_IGHV1-18_IGHD3-16_IGHJ4,IG c87_heavy_IGHV1-18_IGHD3-16_IGHJ4,IG c87_heavy_IGHV1-18_IGHD3-16_IGHJ4
A0A5C2GKJ7,,IG c881_light_IGLV2-11_IGLJ3,IG c881_light_IGLV2-11_IGLJ3,IG c881_light_IGLV2-11_IGLJ3
A0A5C2GN52,,IG c882_heavy_IGHV3-49_IGHD3-3_IGHJ6,IG c882_heavy_IGHV3-49_IGHD3-3_IGHJ6,IG c882_heavy_IGHV3-49_IGHD3-3_IGHJ6
A0A5C2GJ30,,IG c883_heavy_IGHV3-23_IGHD7-27_IGHJ4,IG c883_heavy_IGHV3-23_IGHD7-27_IGHJ4,IG c883_heavy_IGHV3-23_IGHD7-27_IGHJ4
A0A5C2GZ08,,IG c888_light_IGLV3-10_IGLJ3,IG c888_light_IGLV3-10_IGLJ3,IG c888_light_IGLV3-10_IGLJ3
A0A5C2GES7,,IG c889_heavy_IGHV3-48_IGHD2-21_IGHJ3,IG c889_heavy_IGHV3-48_IGHD2-21_IGHJ3,IG c889_heavy_IGHV3-48_IGHD2-21_IGHJ3
A0A5C2GJ56,,IG c891_light_IGKV3-20_IGKJ5,IG c891_light_IGKV3-20_IGKJ5,IG c891_light_IGKV3-20_IGKJ5
A0A5C2GVL4,,IG c892_light_IGLV1-51_IGLJ2,IG c892_light_IGLV1-51_IGLJ2,IG c892_light_IGLV1-51_IGLJ2
A0A5C2GVP5,,IG c893_light_IGLV1-40_IGLJ3,IG c893_light_IGLV1-40_IGLJ3,IG c893_light_IGLV1-40_IGLJ3
A0A5C2H1T4,,IG c896_light_IGLV1-51_IGLJ2,IG c896_light_IGLV1-51_IGLJ2,IG c896_light_IGLV1-51_IGLJ2
A0A5C2GWU0,,IG c899_light_IGKV3-20_IGKJ1,IG c899_light_IGKV3-20_IGKJ1,IG c899_light_IGKV3-20_IGKJ1
A0A5C2GMS0,,IG c89_light_IGKV3-11_IGKJ4,IG c89_light_IGKV3-11_IGKJ4,IG c89_light_IGKV3-11_IGKJ4
A0A5C2GU18,,IG c89_light_IGLV1-51_IGLJ2,IG c89_light_IGLV1-51_IGLJ2,IG c89_light_IGLV1-51_IGLJ2
A0A5C2GIE2,,IG c8_light_IGLV3-27_IGLJ1,IG c8_light_IGLV3-27_IGLJ1,IG c8_light_IGLV3-27_IGLJ1
A0A5C2GDY6,,IG c902_heavy_IGHV3-21_IGHD5-12_IGHJ5,IG c902_heavy_IGHV3-21_IGHD5-12_IGHJ5,IG c902_heavy_IGHV3-21_IGHD5-12_IGHJ5
A0A5C2GVM6,,IG c902_light_IGLV3-25_IGLJ3,IG c902_light_IGLV3-25_IGLJ3,IG c902_light_IGLV3-25_IGLJ3
A0A5C2GGB1,,IG c905_heavy_IGHV3-66_IGHD3-10_IGHJ6,IG c905_heavy_IGHV3-66_IGHD3-10_IGHJ6,IG c905_heavy_IGHV3-66_IGHD3-10_IGHJ6
A0A5C2GFM2,,IG c906_heavy_IGHV3-11_IGHD3-22_IGHJ4,IG c906_heavy_IGHV3-11_IGHD3-22_IGHJ4,IG c906_heavy_IGHV3-11_IGHD3-22_IGHJ4
A0A5C2GFL1,,IG c909_heavy_IGHV4-31_IGHD3-9_IGHJ4,IG c909_heavy_IGHV4-31_IGHD3-9_IGHJ4,IG c909_heavy_IGHV4-31_IGHD3-9_IGHJ4
A0A5C2GKT3,,IG c912_light_IGKV4-1_IGKJ5,IG c912_light_IGKV4-1_IGKJ5,IG c912_light_IGKV4-1_IGKJ5
A0A5C2GJH6,,IG c913_light_IGKV3-20_IGKJ2,IG c913_light_IGKV3-20_IGKJ2,IG c913_light_IGKV3-20_IGKJ2
A0A5C2GVR1,,IG c913_light_IGKV3-20_IGKJ2,IG c913_light_IGKV3-20_IGKJ2,IG c913_light_IGKV3-20_IGKJ2
A0A5C2GN80,,IG c917_heavy_IGHV3-30_IGHD3-3_IGHJ6,IG c917_heavy_IGHV3-30_IGHD3-3_IGHJ6,IG c917_heavy_IGHV3-30_IGHD3-3_IGHJ6
A0A5C2GPY7,,IG c918_light_IGKV3-11_IGKJ3,IG c918_light_IGKV3-11_IGKJ3,IG c918_light_IGKV3-11_IGKJ3
A0A5C2GMG8,,IG c919_light_IGKV2-24_IGKJ2,IG c919_light_IGKV2-24_IGKJ2,IG c919_light_IGKV2-24_IGKJ2
A0A5C2GRQ7,,IG c91_light_IGKV1-27_IGKJ4,IG c91_light_IGKV1-27_IGKJ4,IG c91_light_IGKV1-27_IGKJ4
A0A5C2GFR1,,IG c920_heavy_IGHV3-30_IGHD3-3_IGHJ4,IG c920_heavy_IGHV3-30_IGHD3-3_IGHJ4,IG c920_heavy_IGHV3-30_IGHD3-3_IGHJ4
A0A5C2GQV6,,IG c920_heavy_IGHV3-74_IGHD7-27_IGHJ2,IG c920_heavy_IGHV3-74_IGHD7-27_IGHJ2,IG c920_heavy_IGHV3-74_IGHD7-27_IGHJ2
A0A5C2GTT7,,IG c925_light_IGKV4-1_IGKJ2,IG c925_light_IGKV4-1_IGKJ2,IG c925_light_IGKV4-1_IGKJ2
A0A5C2GNL0,,IG c926_heavy_IGHV1-46_IGHD1-26_IGHJ4,IG c926_heavy_IGHV1-46_IGHD1-26_IGHJ4,IG c926_heavy_IGHV1-46_IGHD1-26_IGHJ4
A0A5C2GQW7,,IG c930_heavy_IGHV3-11_IGHD3-3_IGHJ2,IG c930_heavy_IGHV3-11_IGHD3-3_IGHJ2,IG c930_heavy_IGHV3-11_IGHD3-3_IGHJ2
A0A5C2GJZ6,,IG c930_heavy_IGHV3-30_IGHD2-2_IGHJ6,IG c930_heavy_IGHV3-30_IGHD2-2_IGHJ6,IG c930_heavy_IGHV3-30_IGHD2-2_IGHJ6
A0A5C2GJH2,,IG c933_light_IGLV1-44_IGLJ3,IG c933_light_IGLV1-44_IGLJ3,IG c933_light_IGLV1-44_IGLJ3
A0A5C2GG53,,IG c934_heavy_IGHV4-39_IGHD3-3_IGHJ4,IG c934_heavy_IGHV4-39_IGHD3-3_IGHJ4,IG c934_heavy_IGHV4-39_IGHD3-3_IGHJ4
A0A5C2GTV1,,IG c934_light_IGKV1-5_IGKJ1,IG c934_light_IGKV1-5_IGKJ1,IG c934_light_IGKV1-5_IGKJ1
A0A5C2GK98,,IG c939_light_IGKV3-20_IGKJ2,IG c939_light_IGKV3-20_IGKJ2,IG c939_light_IGKV3-20_IGKJ2
A0A5C2GNS6,,IG c942_light_IGLV1-51_IGLJ2,IG c942_light_IGLV1-51_IGLJ2,IG c942_light_IGLV1-51_IGLJ2
A0A5C2GPZ4,,IG c943_heavy_IGHV3-20_IGHD6-13_IGHJ4,IG c943_heavy_IGHV3-20_IGHD6-13_IGHJ4,IG c943_heavy_IGHV3-20_IGHD6-13_IGHJ4
A0A5C2GKT0,,IG c944_light_IGKV1-5_IGKJ1,IG c944_light_IGKV1-5_IGKJ1,IG c944_light_IGKV1-5_IGKJ1
A0A5C2GJA1,,IG c946_heavy_IGHV3-13_IGHD5-12_IGHJ6,IG c946_heavy_IGHV3-13_IGHD5-12_IGHJ6,IG c946_heavy_IGHV3-13_IGHD5-12_IGHJ6
A0A5C2GKX0,,IG c947_light_IGKV1-12_IGKJ1,IG c947_light_IGKV1-12_IGKJ1,IG c947_light_IGKV1-12_IGKJ1
A0A5C2GP99,,IG c949_light_IGLV2-18_IGLJ2,IG c949_light_IGLV2-18_IGLJ2,IG c949_light_IGLV2-18_IGLJ2
A0A5C2GRI1,,IG c94_light_IGKV3-20_IGKJ3,IG c94_light_IGKV3-20_IGKJ3,IG c94_light_IGKV3-20_IGKJ3
A0A5C2GQY4,,IG c950_heavy_IGHV4-39_IGHD2-2_IGHJ5,IG c950_heavy_IGHV4-39_IGHD2-2_IGHJ5,IG c950_heavy_IGHV4-39_IGHD2-2_IGHJ5
A0A5C2GLH1,,IG c951_heavy_IGHV4-39_IGHD2-21_IGHJ4,IG c951_heavy_IGHV4-39_IGHD2-21_IGHJ4,IG c951_heavy_IGHV4-39_IGHD2-21_IGHJ4
A0A5C2GMM8,,IG c951_light_IGKV1-12_IGKJ3,IG c951_light_IGKV1-12_IGKJ3,IG c951_light_IGKV1-12_IGKJ3
A0A5C2GEV4,,IG c952_heavy_IGHV3-48_IGHD6-19_IGHJ4,IG c952_heavy_IGHV3-48_IGHD6-19_IGHJ4,IG c952_heavy_IGHV3-48_IGHD6-19_IGHJ4
A0A5C2GL78,,IG c952_light_IGKV3-11_IGKJ5,IG c952_light_IGKV3-11_IGKJ5,IG c952_light_IGKV3-11_IGKJ5
