,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0043268,positive regulation of potassium ion transport,GO:BP,4,-0.04253443526170799,-0.03801803226826954,-0.004516402993438452
GO:0043270,positive regulation of monoatomic ion transport,GO:BP,4,-0.04253443526170799,-0.03801803226826954,-0.004516402993438452
GO:0006813,potassium ion transport,GO:BP,4,-0.04253443526170799,-0.03801803226826954,-0.004516402993438452
GO:0001540,amyloid-beta binding,GO:MF,5,0.1335645012524899,0.12905516034235626,0.004509340910133636
REAC:R-HSA-977606,Regulation of Complement cascade,REAC,27,0.20683185929830686,0.21132879747121436,-0.0044969381729075
GO:0032991,protein-containing complex,GO:CC,94,0.1587384601085456,0.16321190150275286,-0.004473441394207273
GO:0006958,"complement activation, classical pathway",GO:BP,22,0.1942709506974434,0.19868848879608766,-0.004417538098644258
GO:0062012,regulation of small molecule metabolic process,GO:BP,17,0.15663760669870885,0.16104397826691536,-0.004406371568206502
GO:0031638,zymogen activation,GO:BP,15,-0.027197338802907905,-0.03159865735643088,0.004401318553522975
GO:0002573,myeloid leukocyte differentiation,GO:BP,3,0.012743331824859788,0.017141273464106245,-0.004397941639246457
GO:0030225,macrophage differentiation,GO:BP,3,0.012743331824859788,0.017141273464106245,-0.004397941639246457
GO:0051602,response to electrical stimulus,GO:BP,3,-0.18703820211251468,-0.18266210085670873,-0.004376101255805953
REAC:R-HSA-2168880,Scavenging of heme from plasma,REAC,9,0.4013135995125768,0.39696579690505185,0.004347802607524931
GO:0002011,morphogenesis of an epithelial sheet,GO:BP,3,0.029740854828877866,0.025411042225369107,0.004329812603508759
GO:0007417,central nervous system development,GO:BP,14,0.07888827005728861,0.08321537434336787,-0.004327104286079256
GO:0051336,regulation of hydrolase activity,GO:BP,12,0.18268913756805902,0.1869881188185353,-0.004298981250476286
WP:WP5090,Complement system in neuronal development and plasticity,WP,29,0.1988476713981993,0.20309930723167816,-0.004251635833478845
WP:WP5110,Familial hyperlipidemia type 3,WP,6,0.1891896257288645,0.19343367704400305,-0.004244051315138553
